id_venta,fecha,producto,marca,categoria,precio,cantidad,garantia_meses,stock_dias,calificacion,canal,devolucion,total,opinion_usuario
52.0,2022-03-28,Mouse,Logitech,,604.4,-2.0,20.0,,3.0,tienda,no,1208.8,El pedido llegó incompleto
53.0,2022-03-30,Impresora,,perifericos,3315.16,4.0,8.0,3.0,1.0,marketplace,si,13260.64,El producto presentó fallas
54.0,2022-04-01,,Dell,computo,5918.63,1.0,26.0,22.0,2.0,marketplace, NO ,5918.63,Entrega rápida y producto original
55.0,2022-04-03,Monitor,Logitech,moviles,5319.16,1.0,28.0,103.0,4.0,,si,5319.16,Buena asesoría antes de comprar
56.0,2022-04-04, TABLET ,Xiaomi,almacenamiento,2038.78,3.0,24.0,81.0,2.0,tienda,si,6116.34,Recibí un producto diferente
57.0,2022-04-06, MONITOR ,Logitech,moviles,3759.51,3.0,10.0,77.0,4.0,web,,11278.53,Buen precio y garantía
58.0,2022-04-08,,Xiaomi,moviles,3076.75,3.0,19.0,71.0,4.0,marketplace,si,9230.25,Entrega rápida y producto original
59.0,2022-04-09,SSD,Asus,redes,5323.21,2.0,4.0,20.0,,marketplace,si,10646.42,sin comentario
60.0,2022-04-11,,Apple,almacenamiento,6154.21,3.0,6.0,110.0,5.0,web,no,18462.63,Buen precio y garantía
61.0,2022-04-13,Monitor,Lenovo,perifericos,-3971.54,1.0,29.0,32.0,2.0,marketplace,no,3971.54,
62.0,2022-04-14,Monitor,Samsung,redes,"2430,09",2.0,34.0,72.0,1.0,tienda,no,4860.18,Buen precio y garantía
63.0,2022-04-16,Teclado,,redes,2173.95,4.0,8.0,81.0,1.0,web,no,8695.8,El producto presentó fallas
,2022-04-18,Mouse,Xiaomi,moviles,1835.13,"3,00",,"31,00",1.0,web,,5505.39,Entrega rápida y producto original
65.0,2022-04-20,Tablet,HP,almacenamiento,-1724.67,3.0,28.0,67.0,"1,00",web,no,-5174.01, RECIBÍ UN PRODUCTO DIFERENTE 
66.0,2022-04-21,Monitor,,perifericos,2885.28,4.0,27.0,25.0,"3,00",marketplace,si,11541.12,buena asesoría antes de comprar
,2022-04-23,Teclado,Logitech,perifericos,290.76,-2.0,10.0,118.0,3.0,web,si,"581,52",Buen precio y garantía
68.0,2022-04-25,Audifonos,Xiaomi,moviles,3140.19,2.0,17.0,87.0,4.0,tienda,no,6280.38,Producto funcionando perfectamente
69.0,2022-04-26,Monitor,Samsung,perifericos,976.53,3.0,13.0,111.0,4.0,marketplace,no,2929.59,Entrega rápida y producto original
70.0,2022-04-28,Laptop,Lenovo,,-1752.59,1.0,19.0,-35.0,5.0,web,si,1752.59,Buen precio y garantía
71.0,2022-04-30,Tablet,Lenovo,computo,5518.51,4.0,0.0,118.0,4.0,tienda,si,22074.04,Excelente atención técnica
72.0,2022-05-02,Monitor,Dell,almacenamiento,3198.67,2.0,1.0,10.0,5.0,marketplace,si,6397.34,Producto funcionando perfectamente
73.0,2022-05-03,Mouse,Lenovo,perifericos,3675.59,3.0,21.0,12.0,3.0,marketplace,si,11026.77,Buena asesoría antes de comprar
74.0,2022-05-05,Impresora,HP,almacenamiento,4931.51,3.0,22.0,23.0,5.0,web,no,14794.53,Excelente atención técnica
75.0,2022-05-07,,Samsung,computo,-2446.75,4.0,10.0,"2,00",-3.0,marketplace,no,9787.0,Mala atención postventa
76.0,2022-05-08,Monitor,Asus,redes,787.59,1.0,1.0,8.0,1.0,tienda,si,787.59,El producto presentó fallas
77.0,2022-05-10,Tablet,Apple,almacenamiento,1558.92,3.0,1.0,93.0,4.0,marketplace,no,4676.76,El producto presentó fallas
78.0,2022-05-12,Impresora,Dell,moviles,2478.48,2.0,,40.0,1.0,web,si,4956.96,Buen precio y garantía
79.0,,tablet,Lenovo,perifericos,2654.76,4.0,31.0,22.0,2.0,marketplace,no,10619.04,Demoraron en atender la garantía
80.0,2022-05-15,Teclado,Apple,perifericos,965.95,4.0,24.0,50.0,5.0,web,no,,Buena asesoría antes de comprar
81.0,2022-05-17,Tablet,Apple,computo,5646.96,2.0,1.0,92.0,2.0,marketplace,no,11293.92,El producto presentó fallas
82.0,2022-05-19,Teclado,HP,redes,5554.89,,12.0,73.0,1.0,tienda, NO ,16664.67,Excelente atención técnica
83.0,2022-05-20,mouse,,computo,808.6,3.0,27.0,100.0,5.0,marketplace,no,"-2425,80",Producto funcionando perfectamente
84.0,2022-05-22,SSD,Dell,redes,2845.25,4.0,28.0,1.0,4.0,web,,11381.0,Excelente atención técnica
85.0,2022-05-24,Audifonos,Xiaomi,computo,1206.59,"2,00",,101.0,,tienda,si,2413.18,El pedido llegó incompleto
86.0,2022-05-25,Impresora,Apple,perifericos,1282.79,"1,00",31.0,66.0,3.0,,si,1282.79,
87.0,2022-05-27,Impresora,HP,perifericos,6261.67,,13.0,-60.0,5.0,marketplace,si,25046.68,
88.0,2022-05-29,Router,Dell,perifericos,1209.24,3.0,2.0,36.0,2.0,,si,3627.72,Buen precio y garantía
89.0,,Audifonos,Lenovo,computo,2486.37,1.0,30.0,98.0,2.0,tienda,si,2486.37,El pedido llegó incompleto
90.0,2022-06-01,Mouse,Xiaomi,,5195.9,-3.0,29.0,106.0,-3.0,tienda,no,15587.7,Excelente atención técnica
91.0,2022-06-03,Laptop,Dell,computo,478.23,4.0,25.0,25.0,3.0,marketplace,si,1912.92,Producto funcionando perfectamente
92.0,2022-06-05,Tablet,HP,redes,4216.34,2.0,33.0,78.0,4.0,web,no,8432.68,Buena asesoría antes de comprar
93.0,2022-06-06,Audifonos,Xiaomi,perifericos,4404.42,2.0,0.0,93.0,"3,00",web,si,8808.84,Entrega rápida y producto original
94.0,2022-06-08,Celular,Asus,perifericos,5385.7,"2,00",,66.0,2.0,tienda,no,10771.4,Producto funcionando perfectamente
95.0,2022-06-10,Tablet,Dell,moviles,2427.1,3.0,28.0,10.0,4.0,web,no,7281.3,Producto funcionando perfectamente
96.0,2022-06-11,mouse,Asus,computo,3759.79,-2.0,14.0,45.0,2.0,web,no,7519.58,Buena asesoría antes de comprar
,2022-06-13,Teclado,Dell,almacenamiento,3793.25,2.0,14.0,40.0,4.0,,no,7586.5,Buena asesoría antes de comprar
98.0,2022-06-15,Audifonos,Dell,redes,4280.46,1.0,7.0,"57,00",2.0,tienda,no,4280.46,El pedido llegó incompleto
99.0,2022-06-17,Mouse,Lenovo,,4145.77,1.0,15.0,76.0,3.0,web,si,4145.77,Demoraron en atender la garantía
100.0,2022-06-18,Router,Xiaomi,moviles,5099.71,3.0,21.0,0.0,2.0,marketplace,si,,Mala atención postventa
101.0,2022-06-20,Teclado,Logitech,moviles,,3.0,25.0,15.0,3.0,,si,1913.79,Mala atención postventa
102.0,2022-06-22,,Asus,moviles,666.71,2.0,4.0,,2.0,tienda,no,1333.42,Entrega rápida y producto original
103.0,2022-06-23,Monitor,Asus,almacenamiento,1877.07,3.0,2.0,28.0,2.0,web,si,5631.21,Entrega rápida y producto original
104.0,2022-06-25,Impresora,Asus,perifericos,5378.82,2.0,33.0,114.0,"1,00",web,si,10757.64,Entrega rápida y producto original
105.0,2022-06-27,Router,Dell,computo,1048.0,1.0,17.0,61.0,4.0,tienda,si,1048.0,Buena asesoría antes de comprar
106.0,2022-06-28,Celular,Samsung,computo,78.5,1.0,10.0,116.0,4.0,tienda,no,78.5,Demoraron en atender la garantía
107.0,2022-06-30,Teclado,Dell,computo,2643.22,1.0,25.0,,2.0,marketplace,no,2643.22,El producto presentó fallas
108.0,2022-07-02,Impresora,Apple,redes,1169.71,2.0,9.0,48.0,3.0,,si,2339.42,Buena asesoría antes de comprar
109.0,2022-07-04,Celular,Asus,computo,365.76,3.0,30.0,82.0,1.0,marketplace,si,1097.28,
110.0,2022-07-05,Tablet,Apple,,3916.52,3.0,9.0,87.0,5.0,marketplace,si,11749.56,Buen precio y garantía
111.0,2022-07-07,Celular,Dell,redes,2064.18,2.0,9.0,1.0,2.0,web,no,4128.36,Mala atención postventa
112.0,2022-07-09,,Dell,moviles,"2555,44",2.0,11.0,55.0,3.0,,no,5110.88,Buena asesoría antes de comprar
113.0,2022-07-10,Mouse,Apple,computo,1426.32,1.0,29.0,23.0,1.0,web,no,1426.32,excelente atención técnica
114.0,,Router,Samsung,,4684.18,,29.0,54.0,2.0,web,no,18736.72,Mala atención postventa
115.0,2022-07-14,Mouse,Logitech,perifericos,3680.57,1.0,24.0,"56,00",,web,si,3680.57,Mala atención postventa
,2022-07-16,Mouse,Xiaomi,redes,2227.61,4.0,10.0,33.0,5.0,web,no,8910.44,Entrega rápida y producto original
117.0,2022-07-17,Impresora, DELL ,,5427.61,1.0,25.0,113.0,"2,00",web,no,5427.61,El pedido llegó incompleto
118.0,2022-07-19,Audifonos,Logitech,computo,1428.85,1.0,35.0,,4.0,web,si,1428.85,Entrega rápida y producto original
119.0,2022-07-21,SSD,Logitech,redes,2933.63,3.0,8.0,49.0,1.0,tienda,no,8800.89,Entrega rápida y producto original
120.0,2022-07-22,Audifonos,Asus,computo,3581.64,1.0,29.0,86.0,2.0,web,no,3581.64,Recibí un producto diferente
,2022-07-24,Laptop,Asus,perifericos,6318.14,2.0,25.0,104.0,5.0,web,si,12636.28,Buena asesoría antes de comprar
122.0,2022-07-26,SSD,HP,moviles,2554.62,2.0,8.0,74.0,2.0,web,si,5109.24,Buena asesoría antes de comprar
123.0,2022-07-27,Impresora,Asus,moviles,-4523.04,2.0,10.0,77.0,2.0,web,si,9046.08,Entrega rápida y producto original
124.0,2022-07-29,Monitor,Samsung,redes,2056.63,3.0,25.0,78.0,5.0,marketplace,no,6169.89,Buen precio y garantía
125.0,2022-07-31,Teclado,Asus,perifericos,131.88,3.0,4.0,100.0,3.0,tienda,si,"395,64",Buena asesoría antes de comprar
126.0,2022-08-02,Impresora,Lenovo,moviles,2726.65,2.0,36.0,22.0,,marketplace,no,5453.3,Mala atención postventa
127.0,2022-08-03,Mouse,Xiaomi,redes,2216.82,1.0,4.0,24.0,4.0,marketplace,si,2216.82,Producto funcionando perfectamente
128.0,2022-08-05,Monitor,Dell,almacenamiento,6056.08,1.0,20.0,67.0,,tienda,no,6056.08,Excelente atención técnica
129.0,2022-08-07,SSD,Asus,computo,3536.22,"4,00",15.0,91.0,2.0,tienda,si,14144.88,Entrega rápida y producto original
130.0,2022-08-08,Mouse,Lenovo,perifericos,974.54,3.0,30.0,116.0,"1,00",tienda,si,,Demoraron en atender la garantía
131.0,2022-08-10,Router,Samsung,computo,3655.51,3.0,24.0,47.0,3.0,tienda,no,10966.53,Demoraron en atender la garantía
132.0,2022-08-12,Audifonos,Lenovo,perifericos,3429.07,2.0,9.0,111.0,5.0,tienda,no,6858.14,Demoraron en atender la garantía
133.0,2022-08-14,Router,Asus,almacenamiento,3966.76,2.0,34.0,61.0,1.0,web,si,7933.52,Producto funcionando perfectamente
134.0,2022-08-15,Audifonos,Xiaomi,redes,6102.83,"3,00",30.0,43.0,4.0,tienda,si,18308.49,Entrega rápida y producto original
135.0,2022-08-17,Monitor,Samsung,computo,4215.77,3.0,12.0,72.0,5.0,web,no,12647.31,Entrega rápida y producto original
136.0,2022-08-19,Monitor,Apple,moviles,3551.68,1.0,30.0,23.0,,tienda,no,3551.68,Demoraron en atender la garantía
137.0,2022-08-20,Router,Logitech,computo,4464.44,1.0,31.0,23.0,"2,00",tienda,si,,Mala atención postventa
138.0,2022-08-22,Mouse,Samsung,computo,3913.92,,20.0,5.0,1.0,web,si,3913.92,El producto presentó fallas
139.0,2022-08-24,Monitor,Asus,computo,986.99,4.0,9.0,3.0,5.0,marketplace,si,3947.96,Mala atención postventa
140.0,2022-08-25,Laptop,Apple,almacenamiento,6497.13,3.0,7.0,29.0,2.0,web,si,19491.39,Producto funcionando perfectamente
141.0,2022-08-27,Router,Logitech,moviles,6456.11,4.0,5.0,109.0,1.0,web,no,25824.44,Demoraron en atender la garantía
142.0,2022-08-29,Router,Logitech,almacenamiento,5224.22,3.0,12.0,-58.0,1.0,,si,15672.66,Buen precio y garantía
143.0,2022-08-31,Tablet,HP,,509.77,3.0,14.0,80.0,4.0,marketplace,no,1529.31,Recibí un producto diferente
144.0,2022-09-01,Monitor,Dell,perifericos,2930.55,1.0,35.0,21.0,1.0,web,no,"2930,55",Buen precio y garantía
145.0,2022-09-03,,Lenovo,redes,5280.22,,25.0,,4.0,web,no,21120.88,Excelente atención técnica
146.0,2022-09-05,Monitor,Lenovo,almacenamiento,3703.09,2.0,20.0,42.0,4.0,marketplace,si,7406.18,Buena asesoría antes de comprar
147.0,2022-09-06,Tablet,Dell,redes,878.71,"1,00",10.0,17.0,2.0,marketplace,si,878.71,El producto presentó fallas
148.0,2022-09-08,,Logitech,moviles,223.77,-2.0,26.0,74.0,4.0,marketplace,,447.54,Buena asesoría antes de comprar
149.0,2022-09-10,Mouse,HP,redes,2290.07,2.0,12.0,63.0,4.0,tienda,si,4580.14,Demoraron en atender la garantía
150.0,,Celular,Apple,perifericos,1561.95,4.0,0.0,58.0,1.0,tienda,no,6247.8,Buena asesoría antes de comprar
151.0,2022-09-13,Mouse,xiaomi,perifericos,230.65,2.0,36.0,51.0,2.0,web,si,461.3,Mala atención postventa
152.0,,Tablet,,redes,3914.03,3.0,26.0,33.0,1.0,marketplace,si,11742.09,
153.0,2022-09-17,Teclado,Apple,moviles,4527.42,1.0,14.0,77.0,"1,00",marketplace,no,4527.42,Entrega rápida y producto original
154.0,2022-09-18,Mouse,Dell,computo,4912.75,-1.0,18.0,36.0,1.0,web,no,4912.75,Excelente atención técnica
,2022-09-20,,Xiaomi,redes,2965.29,3.0,15.0,8.0,5.0,tienda,si,8895.87,demoraron en atender la garantía
156.0,,Mouse,Xiaomi,computo,6450.68,3.0,3.0,70.0,3.0,marketplace,no,19352.04,Excelente atención técnica
157.0,2022-09-23,Audifonos,HP,moviles,5849.74,3.0,-27.0,56.0,1.0,marketplace,,17549.22,demoraron en atender la garantía
158.0,2022-09-25,Celular,,,4453.07,1.0,5.0,78.0,2.0,web,si,4453.07,El producto presentó fallas
159.0,2022-09-27,Audifonos,Logitech,computo,,1.0,6.0,67.0,, TIENDA ,no,923.16,Mala atención postventa
160.0,2022-09-29,SSD,Logitech,almacenamiento,5049.84,,19.0,91.0,3.0,marketplace,si,15149.52,Producto funcionando perfectamente
161.0,2022-09-30,Router,Apple,redes,1175.89,4.0,9.0,8.0,4.0,tienda,no,"4703,56",el pedido llegó incompleto
162.0,2022-10-02,SSD,Samsung,almacenamiento,1156.05,-4.0,8.0,102.0,5.0,tienda,no,4624.2,excelente atención técnica
163.0,2022-10-04,Router,Logitech,,5109.86,3.0,16.0,86.0,4.0,marketplace,si,15329.58,Entrega rápida y producto original
164.0,2022-10-05,Teclado,Dell,almacenamiento,4497.3,3.0,17.0,82.0,2.0,web,,13491.9,Buena asesoría antes de comprar
165.0,2022-10-07,Mouse,Dell,computo,1885.21,1.0,0.0,44.0,2.0,tienda,si,1885.21,Producto funcionando perfectamente
166.0,2022-10-09,Audifonos,Dell,redes,2160.3,3.0,-29.0,59.0,1.0,web,no,6480.9,
167.0,2022-10-10,Monitor,Dell,redes,"2282,74",2.0,8.0,,1.0,tienda,no,4565.48,Producto funcionando perfectamente
168.0,2022-10-12,SSD,Samsung,almacenamiento,5525.4,1.0,9.0,23.0,"1,00",web,si,5525.4, EL PEDIDO LLEGÓ INCOMPLETO 
,2022-10-14,Mouse,Dell,almacenamiento,227.62,4.0,30.0,4.0,3.0,marketplace,no,910.48,Excelente atención técnica
170.0,2022-10-16,Celular,Logitech,computo,4292.55,3.0,28.0,115.0,3.0,web,si,12877.65,buena asesoría antes de comprar
171.0,2022-10-17,Celular,Asus,moviles,1956.76,2.0,7.0,14.0,1.0,tienda,no,3913.52,Excelente atención técnica
172.0,2022-10-19,Audifonos,Samsung,redes,505.34,1.0,,62.0,,marketplace,no,505.34,Recibí un producto diferente
173.0,2022-10-21,Router,Asus,moviles,1380.33,2.0,21.0,86.0,1.0,tienda,no,2760.66,Excelente atención técnica
174.0,2022-10-22,Laptop,Samsung,perifericos,2997.4,3.0,26.0,22.0,1.0,marketplace,si,8992.2,El producto presentó fallas
175.0,2022-10-24,Monitor,Lenovo,moviles,,4.0,8.0,27.0,5.0,marketplace,si,363.8,Producto funcionando perfectamente
176.0,2022-10-26,Tablet,,perifericos,1700.21,3.0,3.0,79.0,"3,00",marketplace,no,5100.63,Excelente atención técnica
177.0,2022-10-28,Impresora,Lenovo,almacenamiento,6481.73,"2,00",1.0,105.0,2.0,web,no,12963.46,Entrega rápida y producto original
178.0,2022-10-29,Celular,Xiaomi, COMPUTO ,3702.86,2.0,30.0,27.0,5.0,tienda,si,7405.72,Entrega rápida y producto original
179.0,2022-10-31,SSD,Samsung,,,1.0,2.0,71.0,"5,00",web,no,785.44,Demoraron en atender la garantía
180.0,2022-11-02,Monitor,Lenovo,perifericos,,4.0,25.0,42.0,2.0,web,si,18557.96,Buen precio y garantía
181.0,,,Samsung,,,,25.0,94.0,1.0,,no,15798.33,Entrega rápida y producto original
182.0,2022-11-05,Audifonos,Apple,redes,-3183.31,1.0,36.0,116.0,4.0,tienda,no,3183.31,Buena asesoría antes de comprar
183.0,2022-11-07,,Apple,perifericos,4265.75,3.0,12.0,112.0,1.0,tienda,no,12797.25,Demoraron en atender la garantía
184.0,2022-11-08,Celular,Apple,moviles,3080.98,2.0,,29.0,4.0,tienda,si,6161.96,El pedido llegó incompleto
185.0,2022-11-10,Impresora,Samsung,moviles,1641.84,2.0,29.0,72.0,1.0,marketplace,no,3283.68,Buena asesoría antes de comprar
186.0,2022-11-12,,Dell,redes,5711.63,4.0,,98.0,3.0,web,si,22846.52,El producto presentó fallas
187.0,2022-11-14,Monitor,Apple,almacenamiento,402.66,3.0,33.0,103.0,,web,no,1207.98,
188.0,2022-11-15,Teclado,Lenovo,computo,5866.27,,34.0,13.0,2.0,web,si,23465.08,Mala atención postventa
189.0,2022-11-17,Teclado,Asus,almacenamiento,5560.34,3.0,17.0,18.0,2.0,marketplace,si,16681.02,Mala atención postventa
190.0,2022-11-19,,Asus,perifericos,51.38,4.0,10.0,94.0,4.0,marketplace,no,205.52,Recibí un producto diferente
191.0,2022-11-20,Tablet,HP,almacenamiento,4144.45,1.0,10.0,"35,00",3.0,marketplace,si,4144.45,Entrega rápida y producto original
192.0,2022-11-22,Monitor,,perifericos,5623.62,4.0,19.0,46.0,2.0,web,no,22494.48,Buen precio y garantía
193.0,2022-11-24,Celular,Samsung,perifericos,,2.0,"8,00",,"2,00",marketplace,no,7015.98,Entrega rápida y producto original
194.0,2022-11-26,Router,HP,almacenamiento,4940.86,1.0,10.0,-57.0,5.0,tienda,no,4940.86,Buen precio y garantía
195.0,2022-11-27,Audifonos,Apple,perifericos,3700.54,,"2,00",-19.0,1.0,marketplace,,11101.62,Excelente atención técnica
196.0,2022-11-29,Teclado,Lenovo,almacenamiento,342.33,1.0,8.0,,4.0,web,no,342.33, ENTREGA RÁPIDA Y PRODUCTO ORIGINAL 
197.0,2022-12-01,Impresora,Dell,redes,,3.0,2.0,104.0,3.0,web,si,4576.8,Buen precio y garantía
198.0,2022-12-02,Mouse,Xiaomi,perifericos,5091.62,2.0,31.0,78.0,1.0,tienda,si,10183.24,Buena asesoría antes de comprar
199.0,2022-12-04,Teclado,Logitech,moviles,,4.0,28.0,,3.0,,no,8594.92,Demoraron en atender la garantía
200.0,2022-12-06,,Logitech,redes,5367.42,3.0,19.0,65.0,1.0,web,no,16102.26,Buen precio y garantía
201.0,2022-12-07,Monitor,Apple,redes,1156.18,3.0,28.0,21.0,4.0,web,si,3468.54,Excelente atención técnica
202.0,2022-12-09,SSD,Xiaomi,redes,2964.82,4.0,,74.0,2.0,marketplace,no,11859.28,Producto funcionando perfectamente
203.0,2022-12-11,Mouse,Asus,perifericos,-755.72,2.0,17.0,26.0,2.0,web,si,1511.44,Buena asesoría antes de comprar
204.0,2022-12-13,Router,Samsung,almacenamiento,910.69,4.0,19.0,106.0,3.0,web,si,3642.76,
205.0,2022-12-14,Tablet,Xiaomi,computo,4219.69,2.0,27.0,106.0,5.0,marketplace,si,8439.38,Buena asesoría antes de comprar
206.0,2022-12-16,Laptop,Samsung,redes,3591.57,4.0,21.0,105.0,2.0,tienda,no,14366.28,Entrega rápida y producto original
207.0,2022-12-18,Mouse,Lenovo,moviles,3912.38,3.0,26.0,118.0,4.0,tienda,no,11737.14,Buena asesoría antes de comprar
208.0,2022-12-19,SSD,Lenovo,almacenamiento,3777.37,,30.0,32.0,5.0,web,,7554.74,Buen precio y garantía
209.0,2022-12-21,Router,Lenovo,almacenamiento,5357.18,1.0,"24,00",111.0,1.0,tienda,si,5357.18,Buen precio y garantía
210.0,2022-12-23,SSD,Logitech,almacenamiento,4640.04,2.0,7.0,105.0,1.0,tienda,si,9280.08,Demoraron en atender la garantía
211.0,2022-12-24,Audifonos,Lenovo,redes,,4.0,11.0,63.0,1.0,marketplace,no,5171.36,
212.0,2022-12-26,Mouse,Logitech,perifericos,3996.58,2.0,20.0,0.0,3.0,tienda,no,7993.16,Excelente atención técnica
